code,equation
"def add(a, b):
    return a + b","add(a, b) = a + b"
"def linear_function(x):
    return a * x + b",linear_function(x) = a * x + b
"def add(a, b):
    return a + b","add(a, b) = a + b"
"def linear_function(x):
    return m * x + c",linear_function(x) = m * x + c
"def subtract(x, y):
    return x - y","subtract(x, y) = x - y"
"def multiply(u, v):
    return u * v","multiply(u, v) = u × v"
"def divide(numerator, denominator):
    return numerator / denominator","divide(numerator, denominator) = numerator ÷ denominator"
"def power(x):
    return x ** n",power(x) = x^n
"def quadratic(x):
    return a * x**2 + b * x + c",quadratic(x) = ax² + bx + c
"def cubic(x):
    return a * x**3 + b * x**2 + c * x + d",cubic(x) = ax³ + bx² + cx + d
"def exponential(x):
    return e ** x",exponential(x) = e^x
"def logarithm(x):
    return math.log(x, b)",logarithm(x) = log_b(x)
"def sine(theta):
    return math.sin(theta)",sine(theta) = sin(theta)
"def cosine(theta):
    return math.cos(theta)",cosine(theta) = cos(theta)
"def tangent(theta):
    return math.tan(theta)",tangent(theta) = tan(theta)
"def factorial(n):
    return math.factorial(n)",factorial(n) = n!
"def absolute_value(x):
    return abs(x)",absolute_value(x) = |x|
"def modulo(x, y):
    return x % y","modulo(x, y) = x mod y"
"def hypotenuse(a, b):
    return math.sqrt(a**2 + b**2)","hypotenuse(a, b) = √(a² + b²)"
"def relu(x):
    return max(0, x)","relu(x) = max(0, x)"
"def harmonic_mean(a, b):
    return 2 / (1/a + 1/b)","harmonic_mean(a, b) = 2 / (1/a + 1/b)"
"def geometric_mean(a, b):
    return (a * b) ** 0.5","geometric_mean(a, b) = √(a × b)"
"def arithmetic_mean(a, b):
    return (a + b) / 2","arithmetic_mean(a, b) = (a + b) ÷ 2"
"def binomial_coefficient(n, k):
    return math.comb(n, k)","binomial_coefficient(n, k) = C(n, k)"
"def nth_root(x):
    return x ** (1 / n)",nth_root(x) = x^(1/n)
"def log_base(x):
    return math.log(x, b)",log_base(x) = log_b(x)
"def sinh(x):
    return math.sinh(x)",sinh(x) = sinh(x)
"def cosh(x):
    return math.cosh(x)",cosh(x) = cosh(x)
"def tanh(x):
    return math.tanh(x)",tanh(x) = tanh(x)
"def arcsin(x):
    return math.asin(x)",arcsin(x) = sin⁻¹(x)
"def arccos(x):
    return math.acos(x)",arccos(x) = cos⁻¹(x)
"def arctan(x):
    return math.atan(x)",arctan(x) = tan⁻¹(x)
"def max_value(a, b):
    return max(a, b)","max_value(a, b) = max(a, b)"
